source,sphere,scenario,year,ktne
Теплова енергія,населення,Ліберальний,2015,2864.0
Теплова енергія,населення,Ліберальний,2020,3588.0
Теплова енергія,населення,Ліберальний,2025,3146.0
Теплова енергія,населення,Ліберальний,2030,2687.0
Теплова енергія,населення,Ліберальний,2035,2056.0
Теплова енергія,населення,Ліберальний,2040,1480.0
Теплова енергія,населення,Ліберальний,2045,1224.0
Теплова енергія,населення,Ліберальний,2050,960.0
Нафта та нафтопродукти,населення,Ліберальний,2012,71.0
Нафта та нафтопродукти,населення,Ліберальний,2015,14.0
Нафта та нафтопродукти,населення,Ліберальний,2020,10.0
Нафта та нафтопродукти,населення,Ліберальний,2025,0.0
Нафта та нафтопродукти,населення,Ліберальний,2030,0.0
Нафта та нафтопродукти,населення,Ліберальний,2035,0.0
Нафта та нафтопродукти,населення,Ліберальний,2040,0.0
Нафта та нафтопродукти,населення,Ліберальний,2045,0.0
Нафта та нафтопродукти,населення,Ліберальний,2050,0.0
Біопаливо та відходи,транспорт,Ліберальний,2012,0.0
Біопаливо та відходи,транспорт,Ліберальний,2015,34.0
Біопаливо та відходи,транспорт,Ліберальний,2020,239.0
Біопаливо та відходи,транспорт,Ліберальний,2025,491.0
Біопаливо та відходи,транспорт,Ліберальний,2030,447.0
Біопаливо та відходи,транспорт,Ліберальний,2035,422.0
